hall_id,result_date,event_name,machine_key,machine_name,unit_numbers,unit_count,winning_units,avg_diff,avg_games,rate_scope,source_name,notes
tsurumi_kiccho_komaoka,2026-06-28,スロパチガール来店S（選抜4台ブロック）,smart_god,スマスロ ゴッドイーター リザレクション,898|899|900|901,4,4,9370,10270,46coin_750_selected_blocks_not_full_hall,slopachi_selected_report,媒体が結果後に選んだ4台箇所。全750台平均ではなく店日予測へ直接入力しない。
tsurumi_kiccho_komaoka,2026-06-28,スロパチガール来店S（混合選抜4台）,enen2_kaguya,炎炎2 2台＋かぐや様 2台,846|847|848|849,4,3,7540,8390,46coin_750_selected_blocks_not_full_hall,slopachi_selected_report,異機種混合4台。全店代表標本ではない。
tsurumi_kiccho_komaoka,2026-06-28,スロパチガール来店S（選抜4台ブロック）,hokuto_tensei2,スマスロ 北斗の拳 転生の章2,1551|1552|1553|1554,4,3,3410,6520,46coin_750_selected_blocks_not_full_hall,slopachi_selected_report,媒体選抜4台。
tsurumi_kiccho_komaoka,2026-06-28,スロパチガール来店S（選抜4台ブロック）,shinuchi_yoshimune,真打吉宗,1657|1658|1659|1660,4,3,4250,8440,46coin_750_selected_blocks_not_full_hall,slopachi_selected_report,媒体選抜4台。
tsurumi_kiccho_komaoka,2026-06-28,スロパチガール来店S（選抜4台ブロック）,bakemonogatari,スマスロ 化物語,1049|1050|1051|1052,4,2,2940,6500,46coin_750_selected_blocks_not_full_hall,slopachi_selected_report,媒体選抜4台。
tsurumi_kiccho_komaoka,2026-06-28,スロパチガール来店S（選抜4台ブロック）,smart_hokuto,スマスロ 北斗の拳,960|961|962|963,4,4,3400,8320,46coin_750_selected_blocks_not_full_hall,slopachi_selected_report,媒体選抜4台。
tsurumi_kiccho_komaoka,2026-06-28,スロパチガール来店S（選抜4台ブロック）,tokyo_ghoul,L 東京喰種,1494|1495|1496|1497,4,2,3090,8810,46coin_750_selected_blocks_not_full_hall,slopachi_selected_report,媒体選抜4台。
tsurumi_kiccho_komaoka,2026-06-28,スロパチガール来店S（選抜4台ブロック）,happy3,ハッピージャグラーV III,728|729|730|731,4,3,2270,8620,46coin_750_selected_blocks_not_full_hall,slopachi_selected_report,媒体選抜4台。
tsurumi_kiccho_komaoka,2026-03-08,スロパチガール来店S（選抜4台ブロック）,enen2,スマスロ 炎炎ノ消防隊2,838|839|840|841,4,4,7280,9280,46coin_750_selected_blocks_not_full_hall,slopachi_selected_report,媒体選抜4台。
tsurumi_kiccho_komaoka,2026-03-08,スロパチガール来店S（選抜4台ブロック）,vvv2,Lパチスロ 革命機ヴァルヴレイヴ2,1502|1503|1504|1505,4,4,5680,7870,46coin_750_selected_blocks_not_full_hall,slopachi_selected_report,媒体選抜4台。
tsurumi_kiccho_komaoka,2026-03-08,スロパチガール来店S（選抜4台ブロック）,dmc5st,スマスロ デビルメイクライ5 スタイリッシュトライブ,1465|1466|1467|1468,4,3,4700,7410,46coin_750_selected_blocks_not_full_hall,slopachi_selected_report,媒体選抜4台。
tsurumi_kiccho_komaoka,2026-03-08,スロパチガール来店S（選抜4台ブロック）,tokyo_revengers,スマスロ 東京リベンジャーズ,1635|1636|1637|1638,4,3,4000,7750,46coin_750_selected_blocks_not_full_hall,slopachi_selected_report,媒体選抜4台。
tsurumi_kiccho_komaoka,2026-01-18,スロパチガール来店S（選抜4台ブロック）,shin_onimusha3,スマスロ 新鬼武者3,914|915|916|917,4,3,6360,8360,46coin_750_selected_blocks_not_full_hall,slopachi_selected_report,媒体選抜4台。
tsurumi_kiccho_komaoka,2026-01-18,スロパチガール来店S（選抜4台ブロック）,smart_hihouden,スマスロ 秘宝伝,1018|1019|1020|1021,4,4,4620,8030,46coin_750_selected_blocks_not_full_hall,slopachi_selected_report,媒体選抜4台。
