hall_id,as_of_date,machine_key,machine_name,units,baseline_days,baseline_avg_diff,special_selected_n,momentum_selected_n,composite_score,type_label,source_name,notes
hirama_prest2,2026-07-13,tokyo_ghoul,L 東京喰種,9,0,,1,0,,媒体掲載機種・店全体非代表,rx7038_and_hallnavi_selected_reports,7/3の1208番台+2420枚、6/3にも+2000枚級。選抜台で全店非代表。
hirama_prest2,2026-07-13,million_god,スマスロ ミリオンゴッド-神々の軌跡-,5,0,,1,0,,媒体掲載機種・店全体非代表,rx7038_and_hallnavi_selected_reports,5/27に2台選抜、6/3の1253番台+7750枚。選抜台で全店非代表。
hirama_prest2,2026-07-13,my_juggler5,マイジャグラーⅤ,9,0,,1,0,,媒体掲載機種・店全体非代表,rx7038_and_hallnavi_selected_reports,5/27・7/3に選抜。7/3は1088番台8652G+340枚。
hirama_prest2,2026-07-13,neo_im,ネオアイムジャグラーEX,13,0,,1,0,,媒体掲載機種・店全体非代表,rx7038_and_hallnavi_selected_reports,4/7・7/3に選抜。7/3は1028番台+930枚。
hirama_prest2,2026-07-13,gogo_juggler3,ゴーゴージャグラー3,5,0,,1,0,,媒体掲載機種・店全体非代表,rx7038_and_hallnavi_selected_reports,7/3は1018番台7329G+790枚。
hirama_prest2,2026-07-13,ultra_miracle,ウルトラミラクルジャグラー,2,0,,1,0,,媒体掲載機種・店全体非代表,rx7038_and_hallnavi_selected_reports,5/15のJG選抜で平均+1355枚と報告。機種選抜で全店非代表。
hirama_prest2,2026-07-13,juggler_girls,ジャグラーガールズSS,4,0,,1,0,,媒体掲載機種・店全体非代表,rx7038_and_hallnavi_selected_reports,5/15・6/3の選抜記事で好調台を確認。
hirama_prest2,2026-07-13,vvv2,Lパチスロ 革命機ヴァルヴレイヴ2,5,0,,1,0,,媒体掲載機種・店全体非代表,rx7038_and_hallnavi_selected_reports,6/3に+2000枚級の選抜台。
hirama_prest2,2026-07-13,smart_blackjack,スマスロスーパーブラックジャック,2,0,,1,0,,媒体掲載機種・店全体非代表,rx7038_and_hallnavi_selected_reports,4/7に1227番台+4000枚超の選抜台。
hirama_prest2,2026-07-13,monkey5,スマスロモンキーターンV,5,0,,1,0,,媒体掲載機種・店全体非代表,rx7038_and_hallnavi_selected_reports,7/7の媒体集計で5台中4台プラス・平均+2283枚と掲載。全店非代表。
