hall_id,as_of_date,machine_key,machine_name,units,baseline_days,baseline_avg_diff,special_selected_n,momentum_selected_n,composite_score,type_label,source_name,notes
tsurumi_kintoki,2026-07-13,kt_785f241e28,スマスロ 甲鉄城のカバネリ 海門決戦,6,13,192,0,0,0.768,公開機種集計・暫定,slorepo_machine_aggregate,2026/7/1〜7/13の機種別通算。短期・少数台のため店日予測や着席推奨には未使用。
tsurumi_kintoki,2026-07-13,kt_4c315d2304,スマスロモンキーターンV,6,13,56,0,0,0.224,公開機種集計・暫定,slorepo_machine_aggregate,2026/7/1〜7/13の機種別通算。短期・少数台のため店日予測や着席推奨には未使用。
tsurumi_kintoki,2026-07-13,kt_3427bdd841,L南国育ち SPECIAL,3,13,152,0,0,0.608,公開機種集計・暫定,slorepo_machine_aggregate,2026/7/1〜7/13の機種別通算。短期・少数台のため店日予測や着席推奨には未使用。
tsurumi_kintoki,2026-07-13,kt_33f9d50dd8,いざ！番長,2,13,192,0,0,0.768,公開機種集計・暫定,slorepo_machine_aggregate,2026/7/1〜7/13の機種別通算。短期・少数台のため店日予測や着席推奨には未使用。
tsurumi_kintoki,2026-07-13,kt_bc74e00b1d,回胴式遊技機グランベルム,2,13,111,0,0,0.444,公開機種集計・暫定,slorepo_machine_aggregate,2026/7/1〜7/13の機種別通算。短期・少数台のため店日予測や着席推奨には未使用。
tsurumi_kintoki,2026-07-13,kt_33f0f56692,ミスタージャグラー,2,13,49,0,0,0.196,公開機種集計・暫定,slorepo_machine_aggregate,2026/7/1〜7/13の機種別通算。短期・少数台のため店日予測や着席推奨には未使用。
tsurumi_kintoki,2026-07-13,kt_cae6a998e6,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,2,13,119,0,0,0.476,公開機種集計・暫定,slorepo_machine_aggregate,2026/7/1〜7/13の機種別通算。短期・少数台のため店日予測や着席推奨には未使用。
tsurumi_kintoki,2026-07-13,kt_a47d899231,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,2,13,719,0,0,2.876,公開機種集計・暫定,slorepo_machine_aggregate,2026/7/1〜7/13の機種別通算。短期・少数台のため店日予測や着席推奨には未使用。
tsurumi_kintoki,2026-07-13,kt_932cd6aec0,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,2,13,586,0,0,2.344,公開機種集計・暫定,slorepo_machine_aggregate,2026/7/1〜7/13の機種別通算。短期・少数台のため店日予測や着席推奨には未使用。
tsurumi_kintoki,2026-07-13,kt_07bc149e50,スマスロ化物語,2,13,229,0,0,0.916,公開機種集計・暫定,slorepo_machine_aggregate,2026/7/1〜7/13の機種別通算。短期・少数台のため店日予測や着席推奨には未使用。
tsurumi_kintoki,2026-07-13,kt_405bd1d670,スマスロ新鬼武者3,2,13,654,0,0,2.616,公開機種集計・暫定,slorepo_machine_aggregate,2026/7/1〜7/13の機種別通算。短期・少数台のため店日予測や着席推奨には未使用。
tsurumi_kintoki,2026-07-13,kt_ba890f761f,スマスロ 攻殻機動隊,2,13,60,0,0,0.24,公開機種集計・暫定,slorepo_machine_aggregate,2026/7/1〜7/13の機種別通算。短期・少数台のため店日予測や着席推奨には未使用。
tsurumi_kintoki,2026-07-13,kt_63252e77b9,スロット ソードアート・オンラインⅡ,2,13,769,0,0,3.076,公開機種集計・暫定,slorepo_machine_aggregate,2026/7/1〜7/13の機種別通算。短期・少数台のため店日予測や着席推奨には未使用。
tsurumi_kintoki,2026-07-13,kt_0e43e383c1,パチスロ 新鬼武者２,1,13,252,0,0,1.008,公開機種集計・暫定,slorepo_machine_aggregate,2026/7/1〜7/13の機種別通算。短期・少数台のため店日予測や着席推奨には未使用。
tsurumi_kintoki,2026-07-13,kt_e6c9e34e6d,スマスロ 七つの魔剣が支配する,1,13,846,0,0,3.384,公開機種集計・暫定,slorepo_machine_aggregate,2026/7/1〜7/13の機種別通算。短期・少数台のため店日予測や着席推奨には未使用。
